# Fichier des schèmes morphologiques arabes
# Format: nom|règle
# Dans la règle: 1 = première lettre, 2 = deuxième lettre, 3 = troisième lettre
# Les voyelles arabes (َ ِ ُ ْ ّ) doivent être incluses dans la règle
# Encodage: UTF-8

# ============================================
# FORME I - الفعل المجرد (Verbe Simple)
# ============================================

# Passé (الماضي)
فَعَلَ|1َ2َ3َ
فَعِلَ|1َ2ِ3َ
فَعُلَ|1َ2ُ3َ

# Présent (المضارع)
يَفْعُلُ|يَ1ْ2ُ3ُ
يَفْعِلُ|يَ1ْ2ِ3ُ
يَفْعَلُ|يَ1ْ2َ3ُ

# Impératif (الأمر)
افْعُلْ|ا1ْ2ُ3ْ
افْعِلْ|ا1ْ2ِ3ْ

# Participe actif (اسم الفاعل)
فاعِل|1ا2ِ3
فاعِلة|1ا2ِ3ة

# Participe passif (اسم المفعول)
مَفْعُول|مَ1ْ2ُو3
مَفْعُولة|مَ1ْ2ُو3ة

# Nom d'action (المصدر)
فَعْل|1َ2ْ3
فِعْل|1ِ2ْ3
فُعْل|1ُ2ْ3
فَعَل|1َ2َ3
فِعَل|1ِ2َ3
فُعُل|1ُ2ُ3
فَعَال|1َ2َا3
فِعَال|1ِ2َا3
فُعَال|1ُ2َا3
فَعِيل|1َ2ِي3
فَعُول|1َ2ُو3

# Nom d'instrument (اسم الآلة)
مِفْعَل|مِ1ْ2َ3
مِفْعَال|مِ1ْ2َا3
مِفْعَلة|مِ1ْ2َ3ة

# Nom de lieu/temps (اسم المكان والزمان)
مَفْعَل|مَ1ْ2َ3
مَفْعِل|مَ1ْ2ِ3

# ============================================
# FORME II - فَعَّلَ (Intensif/Causatif)
# ============================================
فَعَّلَ|1َ2َّ3َ
يُفَعِّلُ|يُ1َ2ِّ3ُ
فَعِّلْ|1َ2ِّ3ْ
مُفَعِّل|مُ1َ2ِّ3
مُفَعَّل|مُ1َ2َّ3
تَفْعِيل|تَ1ْ2ِي3

# ============================================
# FORME III - فاعَلَ (Participation/Réciprocité)
# ============================================
فاعَلَ|1ا2َ3َ
يُفاعِلُ|يُ1ا2ِ3ُ
فاعِلْ|1ا2ِ3ْ
مُفاعِل|مُ1ا2ِ3
مُفاعَل|مُ1ا2َ3
مُفاعَلة|مُ1ا2َ3ة
فِعال|1ِ2ا3

# ============================================
# FORME IV - أفْعَلَ (Causatif)
# ============================================
أَفْعَلَ|أَ1ْ2َ3َ
يُفْعِلُ|يُ1ْ2ِ3ُ
أَفْعِلْ|أَ1ْ2ِ3ْ
مُفْعِل|مُ1ْ2ِ3
مُفْعَل|مُ1ْ2َ3
إفْعال|إ1ْ2ا3

# ============================================
# FORME V - تَفَعَّلَ (Réflexif de II)
# ============================================
تَفَعَّلَ|تَ1َ2َّ3َ
يَتَفَعَّلُ|يَتَ1َ2َّ3ُ
